/global_subject_pose.header.seq ,/global_subject_pose.header.stamp.secs ,/global_subject_pose.translation.x ,/global_subject_pose.translation.y ,/global_subject_pose.translation.z ,/global_subject_pose.rotation.x ,/global_subject_pose.rotation.y ,/global_subject_pose.rotation.z ,/relative_subject_pose.header.seq ,/relative_subject_pose.header.stamp.secs ,/relative_subject_pose.translation.x ,/relative_subject_pose.translation.y ,/relative_subject_pose.translation.z ,/relative_subject_pose.rotation.x ,/relative_subject_pose.rotation.y ,/relative_subject_pose.rotation.z ,/task_waypose.translation.x ,/task_waypose.translation.y ,/task_waypose.translation.z ,/task_waypose.rotation.x ,/task_waypose.rotation.y ,/task_waypose.rotation.z
10480 , 1366653843 , 0.868462683924 , -0.0108829351085 , 0.986907034194 , 0.00100539415051 , 0.0112805725045 , 6.10115817599 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10481 , 1366653843 , 0.868391281808 , -0.010935764041 , 0.987036913971 , 0.0044885542563 , 0.00657543738016 , 6.09717323522 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10482 , 1366653843 , 0.868995629399 , -0.0113395264072 , 0.986987155433 , -0.000196672850244 , 0.0124318936346 , 6.09681815203 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10483 , 1366653843 , 0.869088432361 , -0.01123441278 , 0.987214145494 , 0.00262874944649 , 0.0139615134422 , 6.09977197719 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10484 , 1366653843 , 0.869304928701 , -0.0114770689643 , 0.987268423579 , 0.00425577722312 , 0.00947023480158 , 6.09776176646 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10485 , 1366653843 , 0.869456030598 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10486 , 1366653843 , 0.869704982128 , -0.012052186638 , 0.987372063911 , 0.00257126008319 , 0.00244567414382 , 6.10173122353 , 596 , 1366653843 , 0.0222834371695 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10487 , 1366653843 , 0.8696918313 , -0.0119333156038 , 0.987284899573 , 0.00589242540123 , 0.00180670247965 , 6.09668236645 , 596 , 1366653843 , 0.0222834371695 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10488 , 1366653843 , 0.870125058503 , -0.0121711255644 , 0.987297745928 , -0.006506964997 , 0.00330257603302 , 6.09530356939 , 596 , 1366653843 , 0.0222834371695 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10489 , 1366653843 , 0.870367129802 , -0.0120308052717 , 0.987533506647 , 0.00602895242755 , 0.00747468821246 , 6.09941345921 , 596 , 1366653843 , 0.0222834371695 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10490 , 1366653843 , 0.870420138079 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 596 , 1366653843 , 0.0222834371695 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10491 , 1366653843 , 0.870652925812 , -0.0125063447171 , 0.987471404071 , 0.00316971283486 , 0.00327724763774 , 6.09763420874 , 596 , 1366653843 , 0.0222834371695 , -0.0116636751722 , 0.987256091121 , 0.00488557592727 , 0.0103920442448 , 6.09935983474 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10492 , 1366653843 , 0.870837064278 , -0.01274004961 , 0.987467846971 , 0.00544348461554 , 0.00578245473357 , 6.09562975703 , 597 , 1366653843 , 0.0268874887851 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10493 , 1366653843 , 0.87093373449 , -0.0124414779983 , 0.987586119498 , 0.0032525471891 , -0.000424843458007 , 6.09421897949 , 597 , 1366653843 , 0.0268874887851 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10494 , 1366653843 , 0.871105296479 , -0.0130477037782 , 0.987241136848 , -0.00438783642006 , 0.00319397410716 , 6.09515835689 , 597 , 1366653843 , 0.0268874887851 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10495 , 1366653843 , 0.871581012821 , -0.0128760415909 , 0.987827232494 , 0.00441759303285 , 0.00761480760672 , 6.09937678378 , 597 , 1366653843 , 0.0268874887851 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10496 , 1366653843 , 0.871446987876 , -0.0133187875354 , 0.987663633825 , 0.00244721112472 , 0.00313964893236 , 6.09491679895 , 597 , 1366653843 , 0.0268874887851 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10497 , 1366653843 , 0.87174207215 , -0.0133456037783 , 0.987647825604 , 0.00444492841795 , 0.00674897532724 , 6.09453776309 , 597 , 1366653843 , 0.0268874887851 , -0.0123149161369 , 0.987536574447 , 0.00291928673412 , 0.00748250269492 , 6.09534196431 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10498 , 1366653843 , 0.872061546792 , -0.0134221168274 , 0.987773314166 , 0.00379287641146 , 0.00983849065115 , 6.09532764585 , 598 , 1366653843 , 0.0275379949187 , -0.0133456037783 , 0.987647825604 , 0.00444492841795 , 0.00674897532724 , 6.09453776309 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10499 , 1366653843 , 0.871981366263 , -0.0132424343187 , 0.987809080884 , 0.00103313069002 , -0.00277521924518 , 6.0955165847 , 598 , 1366653843 , 0.0275379949187 , -0.0133456037783 , 0.987647825604 , 0.00444492841795 , 0.00674897532724 , 6.09453776309 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
